Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2019S002551    ,6,Gràcia,28,Vallcarca i els Penitents,148409,Sant Cugat / Samaria                              ,0093 0093,Dimarts,Dm,Laboral,2019,4,Abril,2,9,Matí,No és causa del  vianant,0,2,0,2,2,"428083,67","4586175,98",2.1381601603559104,41.42209901557086
2019S002552    ,2,Eixample,7,la Dreta de l'Eixample,100800,Diputació                                         ,0371 0371,Dimarts,Dm,Laboral,2019,4,Abril,2,10,Matí,No és causa del  vianant,0,0,0,0,1,"431135,39","4583314,42",2.175002153378324,41.39659393717467
2019S002553    ,2,Eixample,10,Sant Antoni,114000,Espanya / Paral·lel                               ,0001 0001,Dimarts,Dm,Laboral,2019,4,Abril,2,10,Matí,No és causa del  vianant,0,2,0,2,2,"429045,14","4580981,92",2.150274321649417,41.37540417671599
2019S002554    ,4,Les Corts,19,les Corts,199909,Berlín / Entença                                  ,0099X0099X,Dimarts,Dm,Laboral,2019,4,Abril,2,11,Matí,No és causa del  vianant,0,1,0,1,2,"428361,53","4582111,8",2.141966612019468,41.38551983273543
2019S002555    ,9,Sant Andreu,62,el Congrés i els Indians,140407,Garcilaso                                         ,0191 0191,Dimarts,Dm,Laboral,2019,4,Abril,2,11,Matí,No és causa del  vianant,0,1,0,1,2,"431632,31","4586284,58",2.1806097437843905,41.423387389906914
2019S002556    ,2,Eixample,9,la Nova Esquerra de l'Eixample,331507,Tarragona / Consell de Cent                       ,0074 0076,Dimarts,Dm,Laboral,2019,4,Abril,2,12,Matí,No és causa del  vianant,0,1,0,1,3,"428775,14","4581196,23",2.1470206987846243,41.377310486108215
2019S002557    ,2,Eixample,7,la Dreta de l'Eixample,31300,Aragó / Bailèn                                    ,0096 0096,Dimarts,Dm,Laboral,2019,4,Abril,2,12,Matí,No és causa del  vianant,0,1,0,1,2,"430772,04","4583361,04",2.1706507833133455,41.39698257933353
2019S002558    ,2,Eixample,10,Sant Antoni,349706,Comte d'Urgell / Tamarit                          ,0012 0012,Dimarts,Dm,Laboral,2019,4,Abril,2,12,Matí,No és causa del  vianant,0,1,0,1,2,"430061,44","4581418,15",2.1623758973420095,41.37942221762206
2019S002559    ,3,Sants-Montjuïc,11,el Poble-sec,701266,B-10 (Besòs)                                      ,0013S0000,Dimarts,Dm,Laboral,2019,4,Abril,2,14,Tarda,No és causa del  vianant,0,0,0,0,2,"429738,8","4578637,35",2.1588404809753574,41.35434851829051
2019S002560    ,2,Eixample,9,la Nova Esquerra de l'Eixample,110803,Entença                                           ,0117 0121,Dimarts,Dm,Laboral,2019,4,Abril,2,13,Matí,No és causa del  vianant,0,1,0,1,2,"428898,82","4581611,98",2.148450744575501,41.38106591504544
