"Codi d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ causa vianant","Descripci¢ tipus de vehicle","Descripci¢ model","Descripci¢ marca","Descripci¢ color","Descripci¢ carnet","Antiguitat carnet","Coordenada UTM (Y)","Coordenada UTM (X)"
2013S000283,8,"Nou Barris",53,"la Trinitat Nova",701432,"C-17 (Barcelona)",0,Diumenge,Dg,Laboral,2013,1,Gener,13,11,"No ‚s causa del  vianant",Turismo,VECTRA,OPEL,Blau,B,46,"4589639,8","432321,48"
2013S006153,4,"Les Corts",20,"la Maternitat i Sant Ramon",144601,Diagonal,"0645 0645",Divendres,Dv,Laboral,2013,8,Agost,30,18,"Desobeir el senyal del sem…for",Motocicleta,"CB 600",HONDA,Negre,A,17,"4582116,12","426268,48"
2013S006156,2,Eixample,6,"la Sagrada Fam¡lia",238400,Padilla,"0264 0264",Divendres,Dv,Laboral,2013,8,Agost,30,18,"No ‚s causa del  vianant",Turismo,"GRAND CHEROKEE",JEEP,Altres,B,44,"4584440,03","431224,43"
2013S006158,2,Eixample,7,"la Dreta de l'Eixample",247659,"Pau Claris","0121 0121",Divendres,Dv,Laboral,2013,8,Agost,30,17,"No ‚s causa del  vianant",Turismo,M30,INFINITI,Blanc,B,37,"4582876,92","430465,81"
2013S006857,8,"Nou Barris",53,"la Trinitat Nova",209900,Meridiana,0605X0605X,Divendres,Dv,Laboral,2013,9,Setembre,27,17,"No ‚s causa del  vianant",Turismo,"SL 350",MERCEDES,Vermell,B,20,"4589210,63","432280,32"
2013S006858,2,Eixample,6,"la Sagrada Fam¡lia",191204,Mallorca,"0417 0417",Divendres,Dv,Laboral,2013,9,Setembre,27,16,"No ‚s causa del  vianant",Turismo,C5,CITROEN,Gris,B,41,"4584185,34","431251,36"
2013S006989,4,"Les Corts",20,"la Maternitat i Sant Ramon",187207,Madrid,"0027 0027",Dijous,Dj,Laboral,2013,10,Octubre,3,10,"No ‚s causa del  vianant",Taxi,220,MERCEDES,Desconegut,BTP,Desconegut,"4581165,67","426872,07"
2013S007113,2,Eixample,9,"la Nova Esquerra de l'Eixample",18505,Arag¢,"0099 0099",Dilluns,Dl,Laboral,2013,10,Octubre,7,15,"No ‚s causa del  vianant",Motocicleta,"SH 100",HONDA,Gris,B,16,"4581730,67","429135,63"
2013S007114,2,Eixample,7,"la Dreta de l'Eixample",148307,Gr…cia,"0035 0035",Dilluns,Dl,Laboral,2013,10,Octubre,7,14,"No ‚s causa del  vianant",Motocicleta,"UX 125",SUZUKI,Blanc,B,8,"4582734,61","430325,6"
2013S006746,2,Eixample,5,"el Fort Pienc",305100,"Sant Joan","0008 0008",Dimarts,Dm,Laboral,2013,9,Setembre,24,0,"No ‚s causa del  vianant",Motocicleta,"AGILITY 125",KYMCO,Negre,A1,10,"4582798,25","431529,7"
2013S006869,9,"Sant Andreu",60,"Sant Andreu",35800,Bartrina,0016X0016X,Dissabte,Ds,Laboral,2013,9,Setembre,28,14,"No ‚s causa del  vianant",Taxi,Altea,SEAT,Desconegut,BTP,24,"4588076,51","432106,37"
2013S007000,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9999 9999",Dijous,Dj,Laboral,2013,10,Octubre,3,13,"No ‚s causa del  vianant",Motocicleta,"NT 650",HONDA,Blau,A,26,"4582516,07","430558,51"
2013S007007,5,"Sarri…-Sant Gervasi",26,"Sant Gervasi - Galvany",223606,Muntaner,"0305 0305",Dijous,Dj,Laboral,2013,10,Octubre,3,16,"No ‚s causa del  vianant",Motocicleta,"R 850 R",BMW,Vermell,A,20,"4583364,08","428683,97"
2013S005785,9,"Sant Andreu",62,"el Congr‚s i els Indians",86108,"Concepci¢n Arenal","0077 0077",Dijous,Dj,Laboral,2013,8,Agost,8,14,"Creuar per fora pas de vianants",Motocicleta,Beverly,PIAGGIO,Negre,A2,3,"4586168,68","431888,42"
2013S005787,6,Gr…cia,30,"la Salut",344000,Dalt,"0046 0046",Dijous,Dj,Laboral,2013,8,Agost,8,13,"No ‚s causa del  vianant",Autob£s,"NL 263",MAN,Vermell,D,16,"4584724,35","429422,76"
2013S005788,3,Sants-Montju‹c,16,"la Bordeta",160903,"Ildefons Cerd…",0004X0004X,Dijous,Dj,Laboral,2013,8,Agost,8,14,"No ‚s causa del  vianant",Turismo,A4,AUDI,Gris,B,44,"4579817,26","427709,71"
2013S005791,6,Gr…cia,30,"la Salut",340406,"Torrent de les Flors","0151 0151",Dijous,Dj,Laboral,2013,8,Agost,8,14,"No ‚s causa del  vianant",Turismo,A3,AUDI,Gris,B,23,"4584803,07","429597,02"
2013S005931,2,Eixample,9,"la Nova Esquerra de l'Eixample",245802,Par¡s,"0113 0115",Divendres,Dv,Laboral,2013,8,Agost,16,19,"No ‚s causa del  vianant",Ciclomotor,"DR Z",SUZUKI,Blanc,B,2,"4582566,74",428842
2013S005934,7,Horta-Guinard¢,43,Horta,166808,Jerez,"0002 0002",Divendres,Dv,Laboral,2013,8,Agost,16,21,"No ‚s causa del  vianant",Motocicleta,"YBR 125",YAMAHA,Negre,A1,1,"4587208,06","429510,79"
2013S007261,3,Sants-Montju‹c,16,"la Bordeta",169409,"Corts Catalanes","0181 0247",Dissabte,Ds,Laboral,2013,10,Octubre,12,19,"No ‚s causa del  vianant",Turismo,ASTRA,OPEL,Blanc,B,0,"4580298,21","428244,45"
