"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ causa mediata","Coordenada UTM (Y)","Coordenada UTM (X)"
2011S006418,2,Eixample,9,"la Nova Esquerra de l'Eixample",18505,Arag¢,"0124 0124",Dilluns,Dl,Laboral,2011,9,Setembre,26,17,Tarda,"No hi ha causa mediata","4581993,24","429437,14"
2011S003596,2,Eixample,9,"la Nova Esquerra de l'Eixample",18505,Arag¢,"0133 0135",Divendres,Dv,Laboral,2011,5,Maig,27,8,Mat°,"No hi ha causa mediata","4581974,59","429384,65"
2011S008525,2,Eixample,9,"la Nova Esquerra de l'Eixample",89004,"Consell de Cent","0188 0188",Dilluns,Dl,Laboral,2011,12,Desembre,19,10,Mat°,"No hi ha causa mediata","4581897,81","429530,12"
2011S003532,2,Eixample,9,"la Nova Esquerra de l'Eixample",100800,Diputaci¢,"0111 0111",Dimecres,Dc,Laboral,2011,5,Maig,25,9,Mat°,"No hi ha causa mediata","4581738,44","429514,77"
2011S000627,2,Eixample,9,"la Nova Esquerra de l'Eixample",110803,Entenáa,"0139 0139",Dissabte,Ds,Laboral,2011,1,Gener,29,23,Nit,"No hi ha causa mediata","4581712,62","428800,07"
2011S004465,2,Eixample,10,"Sant Antoni",349706,"Comte d'Urgell","0057 0057",Dijous,Dj,Laboral,2011,6,Juny,30,15,Tarda,"No hi ha causa mediata","4581683,82","429756,53"
2011S002286,2,Eixample,10,"Sant Antoni",361406,Viladomat,"0082 0082",Dilluns,Dl,Laboral,2011,4,Abril,4,9,Mat°,"No hi ha causa mediata","4581360,87","429738,85"
2011S003061,2,Eixample,10,"Sant Antoni",223606,Muntaner,"0010 0010",Divendres,Dv,Laboral,2011,5,Maig,6,16,Tarda,"No hi ha causa mediata","4581965,93","430079,15"
2011S007816,2,Eixample,10,"Sant Antoni",296508,"Sant Antoni","0041 0041",Dissabte,Ds,Laboral,2011,11,Novembre,19,1,Nit,"No hi ha causa mediata","4581778,21","430146,05"
2011S004694,2,Eixample,10,"Sant Antoni",169409,"Corts Catalanes","0576 0576",Dissabte,Ds,Laboral,2011,7,Juliol,9,14,Tarda,"No hi ha causa mediata","4581966,35","430022,35"
2011S005981,2,Eixample,10,"Sant Antoni",296508,"Sant Antoni","0057 0057",Dissabte,Ds,Laboral,2011,9,Setembre,10,21,Tarda,"No hi ha causa mediata","4581972,38","430167,43"
2011S005309,2,Eixample,10,"Sant Antoni",127704,Floridablanca,"0154 0154",Divendres,Dv,Laboral,2011,8,Agost,5,11,Mat°,"No hi ha causa mediata","4581690,36","430121,64"
2011S003620,2,Eixample,10,"Sant Antoni",54509,CalÖbria,"0017 0017",Divendres,Dv,Laboral,2011,5,Maig,27,21,Tarda,"No hi ha causa mediata","4581021,92","429849,44"
