,NUMERO EXPEDIENTE,TIPO ACCIDENTE
774,2011S005294,Col.lisió fronto-lateral
775,2011S007061,Col.lisió lateral
776,2011S000956,Abast multiple
777,2011S005275,Xoc contra element estàtic
778,2011S007636,Abast
779,2011S008735,Abast multiple
780,2011S006275,Caiguda (dues rodes)
781,2011S007728,Abast
782,2011S007699,Col.lisió fronto-lateral
783,2011S007153,Col.lisió fronto-lateral
784,2011S003915,Xoc contra element estàtic
785,2011S003186,Col.lisió lateral
786,2011S005836,Abast
787,2011S001153,Col.lisió lateral
788,2011S007789,Col.lisió lateral
789,2011S008517,Col.lisió lateral
790,2011S002118,Col.lisió fronto-lateral
791,2011S003313,Atropellament
