"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2013S002635    ",2,Eixample,7,"la Dreta de l'Eixample",144601,Diagonal,"0371 0371",Divendres,Dv,Laboral,2013,4,Abril,12,Tarda,14,"No és causa del  vianant",Motocicleta,Home,Conductor,53,"Ferit lleu","4583348,62","429996,73"
"2013S002648    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",144601,Diagonal,"0433 0433",Divendres,Dv,Laboral,2013,4,Abril,12,Tarda,18,"No és causa del  vianant",Autobús,Dona,Passatger,11,"Ferit lleu","4583069,83","429142,17"
"2013S002616    ",10,"Sant Martí",71,"Provençals del Poblenou",253902,Perú,"0173 0173",Dijous,Dj,Laboral,2013,4,Abril,11,Nit,22,"No és causa del  vianant",Motocicleta,Home,Conductor,49,"Ferit lleu","4584922,90","433191,03"
"2013S002623    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",144601,Diagonal,"0580 0580",Divendres,Dv,Laboral,2013,4,Abril,12,Matí,09,"No és causa del  vianant",Motocicleta,Dona,Conductor,29,"Ferit lleu","4583035,46","428868,32"
"2013S003615    ",10,"Sant Martí",73,"la Verneda i la Pau",318906,Santander,"0063 0063",Diumenge,Dg,Laboral,2013,5,Maig,19,Tarda,21,"No és causa del  vianant",Autobús,Dona,Passatger,76,"Ferit lleu","4586875,02","433490,77"
"2013S003619    ",9,"Sant Andreu",59,"el Bon Pastor",179504,Lima,"0030 0030",Dilluns,Dl,Laboral,2013,5,Maig,20,Nit,00,"No és causa del  vianant",Turismo,Dona,Passatger,32,"Ferit lleu","4588043,89","433863,52"
"2013S003647    ",5,"Sarrià-Sant Gervasi",23,Sarrià,701267,"Dalt (Besòs)",0009E0000,Dimarts,Dm,Laboral,2013,5,Maig,21,Tarda,17,"No és causa del  vianant",Motocicleta,Home,Conductor,43,"Ferit lleu","4583992,47","426149,95"
"2013S003668    ",6,Gràcia,31,"la Vila de Gràcia",90502,Còrsega,"0321 0321",Dimecres,Dc,Laboral,2013,5,Maig,22,Matí,06,"Desobeir el senyal del semàfor",Turismo,Home,Vianant,56,"Ferit greu","4583372,76","429854,46"
"2013S003669    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",28000,Augusta,"0249 0249",Dimecres,Dc,Laboral,2013,5,Maig,22,Tarda,14,"No és causa del  vianant",Ciclomotor,Dona,Conductor,23,"Ferit lleu","4583467,55","427750,96"
"2013S003155    ",4,"Les Corts",19,"les Corts",162002,"Josep Tarradellas",0139S0139S,Dimecres,Dc,Laboral,2013,5,Maig,1,Matí,11,"No és causa del  vianant",Turismo,Dona,Vianant,37,"Ferit lleu","4582640,43","428486,42"
"2013S003160    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",23403,Aribau,"0093 0093",Dimecres,Dc,Laboral,2013,5,Maig,1,Nit,23,"No és causa del  vianant",Motocicleta,Home,Conductor,40,"Ferit lleu","4582603,16","429613,67"
"2013S004140    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",162104,"Infanta Isabel","0001 0001",Dijous,Dj,Laboral,2013,6,Juny,6,Tarda,17,"No és causa del  vianant",Ciclomotor,Home,Conductor,20,"Ferit lleu","4584930,37","427453,47"
