"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ tipus accident","Coordenada UTM (Y)","Coordenada UTM (X)"
2013S006647,2,Eixample,7,"la Dreta de l'Eixample",207803,"MÇndez N£§ez","0019 0019",Divendres,Dv,Laboral,2013,9,Setembre,20,8,Mat°,"Caiguda (dues rodes)","4582613,41","431285,29"
2013S005644,2,Eixample,7,"la Dreta de l'Eixample",148307,GrÖcia,"0016 0016",Dijous,Dj,Laboral,2013,8,Agost,1,18,Tarda,"Col.lisi¢ lateral","4582515,22","430612,71"
2013S003833,2,Eixample,7,"la Dreta de l'Eixample",148307,GrÖcia,"0016 0016",Dilluns,Dl,Laboral,2013,5,Maig,27,21,Tarda,Abast,"4582515,22","430612,71"
2013S002482,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0604 0604",Dissabte,Ds,Laboral,2013,4,Abril,6,18,Tarda,"Col.lisi¢ fronto-lateral","4582245,25","430308,02"
2013S005983,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0604 0604",Dimarts,Dm,Laboral,2013,8,Agost,20,10,Mat°,"Caiguda (dues rodes)","4582245,25","430308,02"
2013S005145,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0604 0604",Dilluns,Dl,Laboral,2013,7,Juliol,15,13,Mat°,"Col.lisi¢ lateral","4582245,25","430308,02"
2013S008837,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0606 0606",Diumenge,Dg,Laboral,2013,12,Desembre,8,15,Tarda,"Col.lisi¢ lateral","4582275,11","430347,9"
2013S000012,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0665 0665",Dimarts,Dm,Laboral,2013,1,Gener,1,14,Tarda,"Col.lisi¢ frontal","4583029,16","431034,38"
2013S008457,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9997 9997",Dilluns,Dl,Laboral,2013,11,Novembre,25,20,Tarda,"Xoc contra element estÖtic","4582760,74","430794,78"
2013S008114,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9997 9997",Dijous,Dj,Laboral,2013,11,Novembre,14,11,Mat°,Abast,"4582760,74","430794,78"
2013S007317,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0612 0614",Dimarts,Dm,Laboral,2013,10,Octubre,15,10,Mat°,"Col.lisi¢ lateral","4582320,61","430385,21"
