"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2021-01-12,NA,"D5","DVM10",326
2021-01-12,"09:54:00","D5","VVX10",17.2
2021-01-12,"09:54:00","D5","DVVX10",321
2021-01-12,NA,"X2","TM",5.4
2021-01-12,"11:59:00","X2","TX",10.2
2021-01-12,"05:33:00","X2","TN",1
2021-01-12,NA,"X2","HRM",58
2021-01-12,"05:31:00","X2","HRX",81
2021-01-12,"12:07:00","X2","HRN",36
2021-01-12,NA,"X4","TM",6.3
2021-01-12,"14:15:00","X4","TX",10.6
2021-01-12,"06:05:00","X4","TN",3.6
2021-01-12,NA,"X4","HRM",50
2021-01-12,"23:35:00","X4","HRX",61
2021-01-12,"14:19:00","X4","HRN",35
2021-01-12,NA,"X4","PM",1020.2
2021-01-12,"23:02:00","X4","PX",1022.4
2021-01-12,"04:46:00","X4","PN",1018.2
2021-01-12,NA,"X4","PPT",0
2021-01-12,NA,"X4","RS24h",9.8
2021-01-12,NA,"X4","VVM10",1.9
2021-01-12,NA,"X4","DVM10",280
2021-01-12,"18:03:00","X4","VVX10",8.4
2021-01-12,"18:03:00","X4","DVVX10",6
2021-01-12,NA,"X8","TM",4.7
2021-01-12,"12:08:00","X8","TX",8.8
2021-01-12,"05:15:00","X8","TN",2.3
2021-01-12,NA,"X8","HRM",56
